================================================
  NLOC    CCN   token  PARAM  length  location  
       2      1     18      1       2 calculate_lizard_warning_score_absolute@325-326@../softwipe/scoring.py
       2      1     14      1       2 calculate_unique_score_absolute@329-330@../softwipe/scoring.py
       2      1     18      1       2 calculate_kwstyle_score_absolute@333-334@../softwipe/scoring.py
       2      1     18      1       2 calculate_infer_score_absolute@337-338@../softwipe/scoring.py
      78      7    558      0     104 parse_arguments@21-124@../softwipe/softwipe.py
       6      3     43      1      11 add_to_path_variable@127-137@../softwipe/softwipe.py
       4      2     46      0       8 add_kwstyle_to_path_variable@140-147@../softwipe/softwipe.py
       4      3     27      1       8 add_user_paths_to_path_variable@150-157@../softwipe/softwipe.py
      12      5     64      0      15 warn_if_user_is_root@160-174@../softwipe/softwipe.py
      20      5    151      5      32 compile_program@177-208@../softwipe/softwipe.py
      10      3     61      2      20 compile_program_with_infer@211-230@../softwipe/softwipe.py
       7      2     44      4      15 execute_program@233-247@../softwipe/softwipe.py
       2      1     21      7       2 compile_and_execute_program_with_sanitizers@250-251@../softwipe/softwipe.py
       2      1     23      7       2 static_analysis@289-290@../softwipe/softwipe.py
      27     11    164      2      36 add_badge_to_file@363-398@../softwipe/softwipe.py
      52     16    367      0      72 main@401-472@../softwipe/softwipe.py
       8      3     56      2      19 assertion_used_in_code_line@20-38@../softwipe/static_analysis_phase.py
      20      4    164      3      36 check_assert_usage@41-76@../softwipe/static_analysis_phase.py
       7      3     39      1      14 get_cppcheck_warning_lines_from_cppcheck_output@79-92@../softwipe/static_analysis_phase.py
       3      2     32      2       9 split_in_chunks@96-104@../softwipe/static_analysis_phase.py
      31      7    223      3      45 run_cppcheck@107-151@../softwipe/static_analysis_phase.py
      12      5     59      1      21 get_clang_tidy_warning_lines_from_clang_tidy_output@154-174@../softwipe/static_analysis_phase.py
      11      4     73      1      21 get_weighted_clang_tidy_warning_count_from_clang_tidy_warning_lines@177-197@../softwipe/static_analysis_phase.py
       6      4     41      1      13 beautify_clang_tidy_warning_lines@200-212@../softwipe/static_analysis_phase.py
      30      7    238      5      53 run_clang_tidy@215-267@../softwipe/static_analysis_phase.py
       4      1     32      1       9 get_actual_rate_from_lizard_duplicate_rate_line@270-278@../softwipe/static_analysis_phase.py
      24      7    142      1      39 get_lizard_output_object_from_lizard_printed_output@281-319@../softwipe/static_analysis_phase.py
      19      4    141      1      34 run_lizard@322-355@../softwipe/static_analysis_phase.py
       7      3     35      1      14 get_kwstyle_warning_count_from_kwstyle_output@358-371@../softwipe/static_analysis_phase.py
      25      5    202      2      40 run_kwstyle@374-413@../softwipe/static_analysis_phase.py
      23      7    126      1      33 get_infer_warnings_from_output@416-448@../softwipe/static_analysis_phase.py
      32      7    235      3      47 run_infer_analysis@451-497@../softwipe/static_analysis_phase.py
      15      8    111      3      25 find_file@500-524@../softwipe/static_analysis_phase.py
       8      1     66      1      15 create_make_flags@14-28@../softwipe/strings.py
       4      2     35      3      10 write_into_file_string@9-18@../softwipe/util.py
       6      2     34      3      12 write_into_file_list@21-32@../softwipe/util.py
       3      2     15      1       7 print_lines@35-41@../softwipe/util.py
       8      3     85      2      15 get_excluded_paths@44-58@../softwipe/util.py
      13      6    101      2      24 find_all_source_files@61-84@../softwipe/util.py
       2      1     13      1       2 line_is_empty@87-88@../softwipe/util.py
      12      7     77      2      26 line_is_comment@91-116@../softwipe/util.py
      10      4     57      1      17 count_lines_of_code_in_one_file@119-135@../softwipe/util.py
       7      2     36      1      15 count_lines_of_code@138-152@../softwipe/util.py
       2      1     21      0       6 get_softwipe_directory@155-160@../softwipe/util.py
       2      1     16      1       2 clang_tidy_output_line_is_header@163-164@../softwipe/util.py
       2      1     12      1       2 clang_tidy_output_line_is_trailer@167-168@../softwipe/util.py
14 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
    110       8.8     3.0       59.1        11     ../softwipe/automatic_tool_installation.py
    253      31.7    12.1      282.3         7     ../softwipe/calculate_score_table.py
    153       0.0     0.0        0.0         0     ../softwipe/classifications.py
    180      15.3     4.3      112.7        11     ../softwipe/compare_results.py
    261      11.2     2.9       81.6        17     ../softwipe/compile_phase.py
     79      13.8     3.4       96.6         5     ../softwipe/execution_phase.py
    108      13.8     3.7      100.0         6     ../softwipe/output_classes.py
    192     182.0    34.0     1654.0         1     ../softwipe/recalculate_scores_from_table.py
    185       4.3     1.6       34.9        27     ../softwipe/scoring.py
